ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0038;Assemblee;M. Frédéric Petit (Dem);DEM;2025-01-14;P6_mandats_cpi;je remercie nos collegues du groupe gdr d avoir pris l initiative de ce debat je vous remercie mesdames pour vos interventions tres techniques et riches je tiens d abord a rappeler que la diplomatie francaise ne se resume pas a la diplomatie d un gouvernement ni meme d un seul homme qu elle n est pas non plus la diplomatie menee depuis sept ans puisqu elle a toute une histoire que vous avez rappelee mesdames de maniere precise la diplomatie francaise c est aussi sa diplomatie parlementaire en novembre 2023 la commission des affaires etrangeres de notre assemblee avait estime de maniere quasi unanime une seule voix s etait exprimee contre qu israel menait une forme de nettoyage ethnique je reviens sur la question des consequences de l arrivee de trump a laquelle nous n avons pas tout a fait...;israel, occupation, jerusalem;;;;;
0039;Twitter;s_legrain;LFI-NFP;2024-05-27;P4_rafah;"🇵🇸Stop au génocide !

Nul ne peut détourner les yeux des images de #Rafah sans s'en rendre le complice.

Rdv à 18h30 place Saint-Augustin.

Exigeons la fin des contrats d'armement et de l'accord UE-Israël, la punition des criminels de guerre, la reconnaissance de la Palestine !";israel, palestine, genocide, rafah;;;;;
0040;Assemblee;M. Volodymyr Zelensky;inconnu;2024-06-07;P4_rafah;s exprimant en ukrainien madame la presidente de l assemblee nationale mesdames et messieurs les deputes je vous remercie vivement de cette invitation qui me donne l occasion de m adresser a vous au nom de mon pays je suis particulierement sensible au respect que vous temoignez a l ukraine et a son peuple merci a la france chere france nous commemorons ces jours ci le soutien mutuel des peuples et le courage des combattants qui ont remporte la bataille de normandie c est justement cette victoire qu on ressent encore sur la plage d omaha beach ou je me trouvais hier avec emmanuel macron et d autres dirigeants nous sommes fiers d etre les heritiers de ces soldats qui venaient de pays differents mais partageaient la volonte de faire triompher la liberte ce sont bien les batailles remportees e...;occupation, droit international, genocide, deux etats, blocus, territoires occupes;;;;;
0041;Assemblee;M. Grégoire de Fournas;RN;2024-05-23;P4_rafah;pour pouvoir continuer a produire mot absent de votre texte dans sa redaction initiale il faut disposer de moyens techniques adaptes et developper l acces a l eau pour prendre un exemple israel n a pas generalise de diagnostic mais s est donne les moyens de continuer a produire l inverse de ce que vous proposez quand cet article a ete examine en commission il a provoque un enorme malaise;israel;;;;;
0042;Twitter;damienmaudt;LFI-NFP;2024-11-08;P5_escalade;"Avoir une tête d'arabe peut donc être un motif pour se faire interpeller par l'armée Israélienne.

Et personne pour reprendre en plateau.

nitter.net/grenier_actu/status/18…";israelien, israel, israelienne, armee israelienne;;;;;
0043;Twitter;jfcoulomme;LFI-NFP;2024-05-27;P4_rafah;"Très fier de cette belle équipe !
Ce n'est pas ceux qui s'érigent contre ce génocide qui sont courageux, mais plutôt ceux qui se taisent et lui donnent des justifications qui sont des lâches  et des complices.
Nous avons dénoncé les actes criminels du Hamas, comme nous dénonçons les actes génocidaires d'Israël.
La France sera aussi jugée selon ses actes dans cette séquence de l'Histoire, pas selon le script du  one-man show de Macron dont la parole, même traduite en son contraire, est loin de la...";israel, hamas, genocide;;;;;
0044;Twitter;brigitte_liso;EPR;2023-10-09;P1_choc;"A Paris comme à Lille, j’exprime mon total soutien aux Israéliens et populations civiles plongés dans l’horreur.

Vive émotion ce soir lors de la marche de solidarité organisée par @Le_CRIF, avec plusieurs membres du gouvernement et collègues @DeputesRE.

La terreur doit cesser.";israelien, israel, israeliens, crif;;;;;
0045;Assemblee;M. Jean-Noël Barrot;MODEM;2024-06-04;P4_rafah;dans cette optique la france n a pas hesite lorsque la situation l a exige a prendre a l encontre des colons extremistes et violents des sanctions a l echelon national et a inciter ses partenaires europeens a le faire a l echelon europeen la reconnaissance de l etat de palestine est l un des instruments dont elle dispose pour faire aboutir cette solution durable seule susceptible d installer la paix qu est la solution a deux etats quand sur plusieurs bancs des groupes lfi nupes soc et ecolo nupes ces derniers jours on a observe une ouverture importante avec le plan de paix propose par le president biden que nous allons soutenir dans toutes les instances dans lesquelles nous dialoguons que ce soit avec nos partenaires europeens avec la communaute internationale dans le cadre de l onu ou ave...;palestine, solution a deux etats, colons, onu, deux etats;;;;;
0046;Assemblee;M. Stéphane Séjourné;REN;2024-05-21;P4_rafah;les juges de la cpi doivent desormais se prononcer sur la delivrance de ces mandats ils le feront en toute independance le troisieme principe c est la solidarite de la france envers les israeliens et les palestiniens la france est engagee pour chercher une solution politique c est le seul horizon de paix possible et nous travaillons diplomatiquement a cette fin;palestiniens, israelien, israel, israeliens, palestinien, cpi;;;;;
0047;Twitter;jerome_buisson;RN;2024-04-25;P3_post_cij;"Le Cheik blanc du Hamas ! 
#UNRWA";hamas, unrwa;;;;;
0048;Twitter;ersiliasoudais;LFI-NFP;2023-03-28;P0_pre_7oct;"J'ai eu le plaisir de rencontrer des membres d'@EuroMedRights, de @YeshDin, d'@alhaq_org et de JLAC pour évoquer la situation en #Israel et en #Palestine.
Notre boussole doit rester le respect du droit international et la fin de la colonisation.

#EndIsraelImpunity";israel, palestine, droit international, colonisation;;;;;
0049;Assemblee;Mme Elsa Faucillon;GDR;2024-05-21;P4_rafah;apres chaque offensive celle menee actuellement a gaza ne faisant pas exception les ventes d armes israeliennes s envolent et ces entreprises presentent a leur clientele internationale leurs dernieres innovations en se vantant de les avoir testees sur le champ de bataille;israelien, israel, gaza, israeliennes, israelienne;;;;;
0050;Twitter;caronaymericoff;LFI-NFP;2024-08-26;P4_rafah;« En direction de Naplouse, grande ville palestinienne du nord de la Cisjordanie occupée, quatre femmes et deux fillettes ont été violemment agressées par des « jeunes des collines », une mouvance radicale du sionisme religieux. Comme d’autres minorités, les Bédouins d’Israël sont victimes de discriminations. »;israel, palestinien, palestinienne, cisjordanie, sionisme, naplouse;;;;;
0051;Twitter;caronaymericoff;LFI-NFP;2025-08-27;P7_cessez_feu;"L'antisionisme est-il un racisme ou une nécessité politique ?
Avec @alaingresh, @vescovi_thomas, @Meriem_Laribi, animée par @MllerQuentin";sionisme, antisionisme;;;;;
0052;Twitter;jeromeguedj;PS-NFP;2025-05-22;P7_cessez_feu;"Les deux victimes sortaient d’un événement humanitaire sur “comment aider les habitants de Gaza et d’Israël”… Les voix de la nuance sont assassinées, il suffit d’être Juifs pour être pris pour cible, partout dans le monde.

lemonde.fr/international/art…";israel, gaza;;;;;
0053;Assemblee;Mme Gabrielle Cathala;LFI-NFP;2025-10-29;P7_cessez_feu;monsieur le premier ministre l entreprise genocidaire de netanyahou se poursuit si le cessez le feu a heureusement permis aux familles israeliennes de retrouver leurs proches retenus en otage l enfer des bombardements a repris pour les palestiniens depuis le 11 octobre 211 d entre eux ont ete assassines et 46 enfants la nuit derniere la famine fait des ravages touchant un demi million de palestiniens les camions d aide humanitaire entrent au compte goutte et les activites de l unrwa sont toujours bloquees par des lois votees par la knesset ce meme parlement qui a vote deux textes validant l annexion de la cisjordanie et que fait la france en dociles vassaux des etats unis vous souscrivez au plan colonial de donald trump un plan de promotion immobiliere au service de son gendre et des seuls...;palestiniens, israelien, israel, israeliens, israeliennes, netanyahou, palestinien, israelienne, famine, bombardement, cisjordanie, otage, annexion, knesset, autodetermination, unrwa, aide humanitaire, bombardements;;;;;
0054;Twitter;s_legrain;LFI-NFP;2024-05-28;P4_rafah;"Ça bégaye fort. 

Le 9 juin, on vote pour la seule qui tienne bon quand il s’agit de défendre la Palestine 🇵🇸 

#Le9JuinCestManon #DebatBFM";palestine;;;;;
