author,bloc,group,stance_mean,stance_std,stance_min,stance_max,n_textes,n_months,first_month,last_month,stance_range,is_mover
Aymeric Caron,Gauche radicale,LFI-NFP,1.608805031446541,0.9277002012777208,-2,2,795,28,2023-10-09 10:41:00,2026-01-05 18:09:00,4,True
Bastien Lachaud,Gauche radicale,LFI-NFP,1.6122448979591837,0.6362365679010642,-1,2,98,23,2023-10-10 08:36:00,2026-01-05 10:55:00,3,True
Belkhir Belhaddad,Centre / Majorite,REN,0.6,0.894427190999916,-1,1,5,5,2023-10-30 18:17:00,2025-09-12 13:08:00,2,True
Benjamin Haddad,Centre / Majorite,REN,-0.9459459459459459,0.46820852108779404,-2,0,37,12,2023-10-18 06:20:00,2026-01-03 12:51:00,2,True
Boris Vallaud,Gauche moderee,SOC,0.7428571428571429,0.8859311201102668,-1,2,35,16,2023-10-14 12:24:00,2025-11-28 15:52:00,3,True
Brigitte Klinkert,Centre / Majorite,EPR,-0.95,0.6048053188292994,-2,1,20,12,2023-10-07 16:27:00,2025-12-15 07:38:00,3,True
Brigitte Liso,Centre / Majorite,EPR,-1.0,0.0,-1,-1,2,2,2023-10-09 17:55:00,2024-10-07 20:26:00,0,False
Bruno Bilde,Droite,RN,-1.6428571428571428,0.532890350293135,-2,0,42,22,2023-10-08 07:34:00,2026-01-05 11:49:00,2,True
Bruno Fuchs,Centre / Majorite,DEM,0.3333333333333333,0.7844645405527361,-1,1,27,10,2024-11-07 19:57:00,2025-11-14 17:11:00,2,True
Bruno Millienne,Centre / Majorite,MODEM,-1.125,0.9910312089651149,-2,0,8,5,2023-10-25 08:49:00,2024-10-07 07:00:00,2,True
Bryan Masson,Droite,RN,-1.2857142857142858,0.48795003647426655,-2,-1,7,7,2023-11-19 18:06:00,2025-09-22 12:55:00,1,False
Carlos Martens Bilongo,Gauche radicale,LFI,1.2916666666666667,1.09464405814634,-2,2,96,23,2023-10-22 09:31:00,2026-01-03 11:28:00,4,True
Caroline Abadie,Centre / Majorite,REN,-1.0,0.0,-1,-1,2,2,2023-10-10 15:25:00,2024-06-16 07:26:00,0,False
Caroline Colombier,Droite,RN,-1.8571428571428572,0.3779644730092272,-2,-1,7,4,2023-10-07 18:43:00,2024-06-12 19:16:00,1,False
Caroline Parmentier,Droite,RN,-1.25,0.5,-2,-1,4,2,2023-10-27 07:43:00,2025-09-27 08:05:00,1,False
Caroline Yadan,Centre / Majorite,EPR,-1.2352941176470589,0.7680101380792529,-2,2,221,27,2023-10-25 08:22:00,2026-01-03 12:51:00,4,True
Catherine Couturier,Gauche radicale,LFI,1.4444444444444444,0.6156987634551992,0,2,18,9,2023-10-18 06:57:00,2025-07-26 22:32:00,2,True
Charles Sitzenstuhl,Centre / Majorite,EPR,-0.3333333333333333,0.5163977794943223,-1,0,6,1,2023-10-10 17:31:00,2023-10-25 17:26:00,1,False
Christophe Marion,Centre / Majorite,REN,-0.8,0.4472135954999579,-1,0,5,3,2023-10-22 17:29:00,2024-10-07 08:51:00,1,False
Claire Lejeune,Gauche radicale,LFI-NFP,1.8888888888888888,0.3582254996607568,0,2,72,16,2023-10-12 07:04:00,2025-11-29 17:33:00,2,True
Clémence Guetté,Gauche radicale,LFI-NFP,1.891304347826087,0.312962510100078,1,2,92,14,2023-10-27 21:57:00,2025-10-29 19:37:00,1,False
Clémentine Autain,Gauche radicale,LFI,1.576470588235294,0.6965300148770689,-1,2,85,22,2023-10-07 13:53:00,2025-11-29 15:34:00,3,True
Constance Le Grip,Centre / Majorite,EPR,-1.036697247706422,0.46996070569757437,-2,1,109,27,2023-10-12 07:02:00,2026-01-02 09:22:00,3,True
Cyrielle Chatelain,Gauche moderee,ECO-NFP,0.9655172413793104,0.7784030640030015,-1,2,29,10,2023-10-21 13:07:00,2024-11-23 08:14:00,3,True
Cécile Rilhac,Centre / Majorite,REN,-0.25,0.9574271077563381,-1,1,4,2,2023-10-17 13:42:00,2023-11-22 14:10:00,2,True
Céline Calvez,Centre / Majorite,EPR,-0.1111111111111111,1.0540925533894598,-1,1,9,7,2023-10-24 20:21:00,2025-09-22 22:37:00,2,True
Céline Hervieu,Gauche moderee,PS-NFP,-1.0,,-1,-1,1,1,2025-10-09 16:13:00,2025-10-09 16:13:00,0,False
Damien Maudet,Gauche radicale,LFI-NFP,1.4615384615384615,0.7605665904189707,-1,2,26,11,2023-10-22 15:24:00,2025-12-14 14:58:00,3,True
Daniel Labaronne,Centre / Majorite,EPR,-0.75,0.5,-1,0,4,3,2023-11-09 11:00:00,2025-01-16 14:48:00,1,False
Danielle Simonnet,Gauche moderee,ECO-NFP,1.1714285714285715,0.8570027896760927,-1,2,35,16,2023-10-27 21:49:00,2025-12-29 18:45:00,3,True
Danièle Obono,Gauche radicale,LFI-NFP,1.7729257641921397,0.5548515675464327,-2,2,229,26,2023-10-19 17:47:00,2026-01-03 18:02:00,4,True
David Guiraud,Gauche radicale,LFI-NFP,1.7598039215686274,0.6006170560876234,-1,2,204,22,2023-10-07 14:55:00,2025-12-02 06:36:00,3,True
Didier Martin,Centre / Majorite,REN,-1.0,0.0,-1,-1,4,3,2023-10-10 17:40:00,2024-02-07 16:01:00,0,False
Dominique Potier,Gauche moderee,SOC,0.5,0.9258200997725515,-1,1,8,6,2023-10-07 12:48:00,2025-08-08 21:05:00,2,True
Edwige Diaz,Droite,RN,-1.44,0.8698658900466592,-2,2,25,13,2023-10-28 06:51:00,2025-11-27 12:37:00,4,True
Elsa Faucillon,Gauche radicale,GDR,1.6951219512195121,0.5372316876161176,-1,2,82,22,2023-10-09 10:52:00,2025-12-19 16:11:00,3,True
Emmanuel Fernandes,Gauche radicale,LFI-NFP,1.5,0.7885738643245782,-2,2,120,26,2023-10-09 06:27:00,2026-01-06 14:37:00,4,True
Emmanuelle Ménard,Droite,NI,-1.1764705882352942,0.7276068751089988,-2,1,17,6,2023-10-07 10:20:00,2024-06-04 14:54:00,3,True
Ersilia Soudais,Gauche radicale,LFI-NFP,1.6111111111111112,0.7229742082469452,-2,2,72,14,2023-11-23 15:07:00,2025-09-29 18:02:00,4,True
Erwan Balanant,Centre / Majorite,DEM,-0.25,1.4999999999999998,-2,1,4,3,2023-10-08 20:11:00,2025-10-06 13:11:00,3,True
Eva Sas,Gauche moderee,ECO-NFP,0.8095238095238095,0.8728715609439694,-1,2,21,7,2023-10-07 15:02:00,2024-11-28 09:36:00,3,True
Fabien Roussel,Gauche radicale,GDR,1.4743589743589745,0.6973858231617462,-1,2,78,18,2023-10-22 09:11:00,2025-11-29 16:49:00,3,True
Florian Chauche,Gauche radicale,LFI,1.3157894736842106,0.9459053029269173,-1,2,19,10,2023-10-27 20:15:00,2025-09-23 06:07:00,3,True
Franck Riester,Centre / Majorite,REN,-1.0,0.0,-1,-1,3,3,2023-10-19 14:06:00,2025-05-22 10:45:00,0,False
Frank Giletti,Droite,RN,-2.0,,-2,-2,1,1,2023-10-13 15:09:00,2023-10-13 15:09:00,0,False
François Cormier-Bouligeon,Centre / Majorite,EPR,-1.2352941176470589,0.6663164346137761,-2,1,85,18,2023-10-16 08:02:00,2025-08-07 11:12:00,3,True
François Piquemal,Gauche radicale,LFI,1.5176470588235293,0.6289023829521662,-1,2,85,19,2023-10-22 06:56:00,2026-01-03 12:01:00,3,True
