author,bloc,PC1,PC2
M. Théo Bernhardt,Droite,-0.2139832157396585,0.27296313117781135
M. Ugo Bernalicis,Gauche radicale,-0.07587379827351524,0.07443519270185062
M. Vincent Jeanbrun,Droite,-0.16884982176862476,-0.09041693044995157
M. William Martinet,Gauche radicale,-0.49327913905546,0.0698925621568872
M. Xavier Albertini,Centre / Majorite,0.1568848999348794,0.16941194951603888
M. Yoann Gillet,Droite,-0.44446305760990357,-0.02836281872408664
M. Éric Bothorel,Centre / Majorite,-0.12580659847108244,0.17453422155587692
M. Éric Ciotti,Droite,0.15857599570935854,0.0033411232966215234
M. Éric Coquerel,Gauche radicale,0.23780246680799783,0.056040178659132724
M. Éric Dupond-Moretti,Centre / Majorite,0.12224066402028812,0.13265278564068267
M. Éric Michoux,Droite,-0.2599760045072969,0.07459238820576565
M. Éric Pauget,Droite,-0.3136453301748788,0.04169828681028916
M. Éric Poulliat,Centre / Majorite,-0.5606541376016427,0.0006595229193023662
Manuel Bompard,Gauche radicale,0.3281494080083314,0.0014464650335850896
Marie Lebec,Centre / Majorite,0.14370415631829958,-0.2157907203528054
Marie Mesmeur,Gauche radicale,0.2294100664170218,0.020935506715811358
Marie Pochon,Gauche moderee,0.13583903133462205,0.1322974735315215
Marietta Karamanli,Gauche moderee,-0.22645373580826852,-0.23111147110205146
Marine Hamelet,Droite,-0.234566138364863,-0.1323109505686522
Marine Le Pen,Droite,0.13143532311444409,-0.10431216622717707
Mathieu Lefèvre,Centre / Majorite,-0.36914264757611115,-0.04833403068786881
Mathilde Panot,Gauche radicale,0.33089889978235526,0.0031488567101228965
Matthias Renault,Droite,-0.049241584580126445,0.06815117318232525
Matthias Tavel,Gauche radicale,0.23447403154868526,-0.09077556334205754
Matthieu Marchio,Droite,0.029075471950873764,-0.09406820665101195
Maud Gatel,Centre / Majorite,-0.002146985923343316,-0.08554608972160309
Maxime Michelet,Droite,-0.2755410713626051,0.06681546285604312
Michel Barnier,Droite,0.13114927280042463,-0.15733302455576742
Michel Guiniot,Droite,0.026329267946006017,-0.05653295054519423
Michel Herbillon,Droite,-0.15638628998515958,-0.34136935181641803
Michèle Tabarot,Droite,0.2109319399713185,-0.20207505327585326
Mme Alma Dufour,Gauche radicale,0.18373839719937238,0.18799872865751632
Mme Amélia Lakrafi,Centre / Majorite,0.024525319348711355,-0.06570124359975658
Mme Amélia Lakrafi (EPR),Centre / Majorite,-0.022404184150237996,0.14627239293832298
Mme Amélie de Montchalin,Gauche moderee,0.06750251552859106,0.12494064397269883
Mme Anaïs Belouassa-Cherifi,Gauche radicale,-0.520842173632094,0.27603876554947765
Mme Andrée Taurinya,Gauche radicale,0.19458332157959962,0.1525521323815609
Mme Annie Genevard,Droite,-0.056378059999174265,0.07119618779778406
Mme Aurore Bergé,Centre / Majorite,0.11799537755486747,0.2516971077155362
Mme Ayda Hadizadeh,Gauche moderee,0.10790519419186481,0.09268333616307906
Mme Brigitte Klinkert,Centre / Majorite,0.12507148434747223,-0.08563540207524264
Mme Caroline Abadie,Centre / Majorite,-0.11225957621864789,0.0665183536720321
Mme Caroline Yadan,Centre / Majorite,0.24704871710314252,0.06883625141003942
Mme Caroline Yadan (RE),Centre / Majorite,0.017421184557820612,-0.025248308055885516
Mme Catherine Colonna,Gauche radicale,0.2367205416426586,-0.013542814888828083
Mme Catherine Hervieu,Gauche moderee,0.04501553424893272,-0.0878100689392158
